id,period,kind,key,pdf_id,pdf_page,section,end_section,label,occurrence,column,printed,value,provider_field
2025-12-31/trading_disposal,2025-12-31,ytd,trading_disposal,1225090973,180,50、投资收益,51、公允价值变动收益,处置交易性金融资产产生的收益,0,0,"29,236,364.54",29236364.54,
2025-12-31/fv_wealth_current,2025-12-31,ytd,fv_wealth_current,1225090973,180,51、公允价值变动收益,52、信用减值损失,其中：理财产品投资,0,0,"-1,299,753.31",-1299753.31,
2025-12-31/fv_equity_current,2025-12-31,ytd,fv_equity_current,1225090973,180,51、公允价值变动收益,52、信用减值损失,权益工具投资,0,0,"85,065,867.26",85065867.26,
2025-12-31/fv_forward_asset,2025-12-31,ytd,fv_forward_asset,1225090973,180,51、公允价值变动收益,52、信用减值损失,远期外汇合约公允价值变动,0,0,"-19,030,338.74",-19030338.74,
2025-12-31/fv_wealth_noncurrent,2025-12-31,ytd,fv_wealth_noncurrent,1225090973,180,51、公允价值变动收益,52、信用减值损失,其中：理财产品投资,1,0,"-10,891,048.68",-10891048.68,
2025-12-31/fv_equity_noncurrent,2025-12-31,ytd,fv_equity_noncurrent,1225090973,180,51、公允价值变动收益,52、信用减值损失,权益工具投资,1,0,"62,806,775.14",62806775.14,
2025-12-31/fv_forward_liability,2025-12-31,ytd,fv_forward_liability,1225090973,180,51、公允价值变动收益,52、信用减值损失,其中：远期外汇合约公允价值变动,0,0,"22,945,230.61",22945230.61,
2026-06-30/cash,2026-06-30,instant,cash,1225533054,57,1、合并资产负债表,2、母公司资产负债表,货币资金,0,0,"3,803,700,574.91",3803700574.91,FN8
2026-06-30/trading_assets,2026-06-30,instant,trading_assets,1225533054,57,1、合并资产负债表,2、母公司资产负债表,交易性金融资产,0,0,"2,283,072,248.41",2283072248.41,
2026-06-30/derivative_assets,2026-06-30,instant,derivative_assets,1225533054,57,1、合并资产负债表,2、母公司资产负债表,衍生金融资产,0,0,"249,301,303.93",249301303.93,
2026-06-30/receivables,2026-06-30,instant,receivables,1225533054,57,1、合并资产负债表,2、母公司资产负债表,应收账款,0,0,"2,500,613,129.44",2500613129.44,FN11
2026-06-30/prepayments,2026-06-30,instant,prepayments,1225533054,57,1、合并资产负债表,2、母公司资产负债表,预付款项,0,0,"214,351,932.73",214351932.73,
2026-06-30/other_receivables,2026-06-30,instant,other_receivables,1225533054,57,1、合并资产负债表,2、母公司资产负债表,其他应收款,0,0,"147,167,336.13",147167336.13,
2026-06-30/dividends_receivable,2026-06-30,instant,dividends_receivable,1225533054,57,1、合并资产负债表,2、母公司资产负债表,应收股利,0,0,-,0.00,
2026-06-30/inventory,2026-06-30,instant,inventory,1225533054,57,1、合并资产负债表,2、母公司资产负债表,存货,0,0,"6,733,783,995.03",6733783995.03,FN17
2026-06-30/other_current_assets,2026-06-30,instant,other_current_assets,1225533054,57,1、合并资产负债表,2、母公司资产负债表,其他流动资产,0,0,"2,172,490,234.68",2172490234.68,
